# X  Y  P
# X=2*n1+n2, Y=sqrt(3)*n2, P=P[n2,n1]
22 31.1769145362 1.3974199999999999e-03
24 31.1769145362 1.2567399999999999e-03
26 31.1769145362 1.0971200000000000e-03
28 31.1769145362 9.3395000000000001e-04
30 31.1769145362 7.7957999999999999e-04
32 31.1769145362 6.3670000000000003e-04
34 31.1769145362 5.1424000000000001e-04
36 31.1769145362 4.1665000000000002e-04
38 31.1769145362 3.3106999999999999e-04
40 31.1769145362 2.7313000000000001e-04
42 31.1769145362 2.3406999999999999e-04
44 31.1769145362 2.1498000000000001e-04
46 31.1769145362 2.1662999999999999e-04
48 31.1769145362 2.3547999999999999e-04
50 31.1769145362 2.7669000000000001e-04
52 31.1769145362 3.3431999999999998e-04
54 31.1769145362 4.1681999999999998e-04
56 31.1769145362 5.1754999999999998e-04
58 31.1769145362 6.4084000000000005e-04
60 31.1769145362 7.7055999999999999e-04
62 31.1769145362 9.2643000000000001e-04
64 31.1769145362 1.0919500000000000e-03
66 31.1769145362 1.2613100000000001e-03
68 31.1769145362 1.4019400000000000e-03
70 31.1769145362 1.5298700000000000e-03
72 31.1769145362 1.6095400000000000e-03
74 31.1769145362 1.6633600000000000e-03
76 31.1769145362 1.6572600000000000e-03

19 32.9089653438 1.5213600000000000e-03
21 32.9089653438 1.4285100000000000e-03
23 32.9089653438 1.3145300000000000e-03
25 32.9089653438 1.1717500000000000e-03
27 32.9089653438 1.0223100000000000e-03
29 32.9089653438 8.8480999999999998e-04
31 32.9089653438 7.4414000000000001e-04
33 32.9089653438 6.1978000000000001e-04
35 32.9089653438 5.1378999999999997e-04
37 32.9089653438 4.2874999999999999e-04
39 32.9089653438 3.5512000000000000e-04
41 32.9089653438 3.0643000000000001e-04
43 32.9089653438 2.7345000000000001e-04
45 32.9089653438 2.6607999999999997e-04
47 32.9089653438 2.7597000000000000e-04
49 32.9089653438 3.0550999999999999e-04
51 32.9089653438 3.5579999999999997e-04
53 32.9089653438 4.2519999999999998e-04
55 32.9089653438 5.1404000000000000e-04
57 32.9089653438 6.2270999999999995e-04
59 32.9089653438 7.4529999999999996e-04
61 32.9089653438 8.8396000000000004e-04
63 32.9089653438 1.0192500000000000e-03
65 32.9089653438 1.1761499999999999e-03
67 32.9089653438 1.3030900000000000e-03
69 32.9089653438 1.4239500000000000e-03
71 32.9089653438 1.5179900000000001e-03
73 32.9089653438 1.5769899999999999e-03
75 32.9089653438 1.6053899999999999e-03
77 32.9089653438 1.5763500000000000e-03

20 34.6410161514 1.4232299999999999e-03
22 34.6410161514 1.3425799999999999e-03
24 34.6410161514 1.2305199999999999e-03
26 34.6410161514 1.1132399999999999e-03
28 34.6410161514 9.9186999999999995e-04
30 34.6410161514 8.6231999999999997e-04
32 34.6410161514 7.4549999999999996e-04
34 34.6410161514 6.3644000000000005e-04
36 34.6410161514 5.4233999999999999e-04
38 34.6410161514 4.6178000000000001e-04
40 34.6410161514 3.9557999999999998e-04
42 34.6410161514 3.5568999999999998e-04
44 34.6410161514 3.3278000000000002e-04
46 34.6410161514 3.3466000000000002e-04
48 34.6410161514 3.5490000000000001e-04
50 34.6410161514 3.9905000000000002e-04
52 34.6410161514 4.5994999999999999e-04
54 34.6410161514 5.4352999999999997e-04
56 34.6410161514 6.3433999999999995e-04
58 34.6410161514 7.4781000000000001e-04
60 34.6410161514 8.6554999999999998e-04
62 34.6410161514 9.8509000000000010e-04
64 34.6410161514 1.1117700000000000e-03
66 34.6410161514 1.2354499999999999e-03
68 34.6410161514 1.3378000000000001e-03
70 34.6410161514 1.4212300000000001e-03
72 34.6410161514 1.4909800000000000e-03
74 34.6410161514 1.5184300000000001e-03
76 34.6410161514 1.5219999999999999e-03
